CO99_D90_,CO99_D90_I,CountyFIPS,GEOID,censusPercentageWhite,censusPercentageBlack,censusPercentageOthers,censusPercentageNHWhite,censusPercentageNHBlack,censusPercentageNHOthers,censusPercentageHispanicWhite,censusPercentageHispanicBlack,censusPercentageHispanicOthers,censTryear
2966,2835,1013,01013,57.522606,38.037895,4.4394965,,,,,,,1970
2647,2527,1029,01029,89.841759,5.7202621,4.4379773,,,,,,,1970
2484,2412,1033,01033,78.900711,16.461155,4.6381369,,,,,,,1970
2630,2553,1075,01075,80.488312,12.431112,7.0805721,,,,,,,1970
2500,2423,1079,01079,76.672409,17.722958,5.6046333,,,,,,,1970
2708,2614,1117,01117,78.839027,16.142178,5.0187974,,,,,,,1970
78,3293,2013,02013,67.61821,2.9415417,29.440247,,,,,,,1970
2,3218,2185,02185,,,,,,,,,,1970
2057,1797,4015,04015,94.527596,.077348493,5.3950572,,,,,,,1970
2389,2341,5035,05035,51.180725,45.819649,2.9996259,,,,,,,1970
2555,2511,5059,05059,84.050446,11.186996,4.7625551,,,,,,,1970
2289,2267,5063,05063,92.875061,2.1784096,4.9465299,,,,,,,1970
2560,2508,5069,05069,56.414585,38.330463,5.2549543,,,,,,,1970
2456,2430,5119,05119,75.666893,19.301924,5.0311813,,,,,,,1970
2445,2425,5127,05127,96.771049,0,3.228951,,,,,,,1970
2733,2413,6025,06025,91.338669,3.2795467,5.3817859,,,,,,,1970
1877,1407,6039,06039,89.349457,4.4437485,6.2067971,,,,,,,1970
2078,1476,6069,06069,95.270493,.41698673,4.3125205,,,,,,,1970
2716,2355,6073,06073,90.478294,4.4096179,5.1120872,,,,,,,1970
1720,1210,6109,06109,91.438492,1.12319,7.4383149,,,,,,,1970
1448,1438,8073,08073,95.74028,.22746071,4.032258,,,,,,,1970
1910,1802,8083,08083,89.383881,0,10.616121,,,,,,,1970
1666,1554,8085,08085,96.063377,0,3.9366219,,,,,,,1970
1228,1203,8087,08087,94.747574,.1939816,5.0584431,,,,,,,1970
1113,1116,8115,08115,94.713654,0,5.2863436,,,,,,,1970
956,618,9011,09011,93.850174,3.0293295,3.120496,,,,,,,1970
1582,1281,11001,11001,27.134077,68.390633,4.4752879,,,,,,,1970
3128,2987,12013,12013,82.528854,14.637985,2.8331585,,,,,,,1970
3130,2960,12023,12023,72.744553,24.609901,2.6455445,,,,,,,1970
3120,2968,12079,12079,55.774796,43.201542,1.0236629,,,,,,,1970
3036,2871,13003,13003,62.833817,28.253105,8.9130802,,,,,,,1970
2863,2703,13023,13023,75.600037,21.164124,3.2358372,,,,,,,1970
2730,2584,13035,13035,54.782196,42.5,2.717803,,,,,,,1970
2869,2689,13043,13043,65.112289,31.799751,3.08796,,,,,,,1970
2677,2552,13045,13045,80.149323,15.577923,4.2727513,,,,,,,1970
2699,2562,13063,13063,92.658325,4.372571,2.9691055,,,,,,,1970
2679,2548,13097,13097,86.862762,8.7756023,4.3616314,,,,,,,1970
2758,2582,13125,13125,75.0308,23.531828,1.4373716,,,,,,,1970
2725,2567,13141,13141,25.213438,69.242706,5.5438519,,,,,,,1970
2831,2688,13145,13145,50.815971,43.029514,6.1545138,,,,,,,1970
2559,2402,13147,13147,73.09346,22.720375,4.1861644,,,,,,,1970
2988,2825,13155,13155,63.912395,29.143852,6.9437532,,,,,,,1970
2713,2571,13159,13159,47.638889,47.065971,5.2951388,,,,,,,1970
3056,2900,13173,13173,66.666664,27.728086,5.6052475,,,,,,,1970
2515,2381,13187,13187,94.488998,1.5352887,3.9757104,,,,,,,1970
2697,2526,13189,13189,57.05682,36.508247,6.4349308,,,,,,,1970
2999,2800,13191,13191,47.998913,47.714016,4.2870708,,,,,,,1970
2632,2472,13221,13221,60.73967,36.022636,3.237694,,,,,,,1970
2621,2502,13223,13223,88.127853,7.4714613,4.4006848,,,,,,,1970
2689,2524,13265,13265,37.408611,60.763607,1.8277823,,,,,,,1970
3026,2854,13299,13299,74.275917,21.103655,4.6204324,,,,,,,1970
2979,2793,13305,13305,75.904358,20.483816,3.6118267,,,,,,,1970
3320,3211,15005,15005,,,,,,,,,,1970
626,388,16001,16001,94.791946,.20671834,5.0013366,,,,,,,1970
405,235,16003,16003,97.810219,0,2.189781,,,,,,,1970
712,507,16047,16047,94.065933,.1156738,5.8183923,,,,,,,1970
180,38,16055,16055,94.687538,.036793843,5.275671,,,,,,,1970
369,228,16059,16059,97.305069,0,2.6949334,,,,,,,1970
1410,1412,17029,17029,96.264771,.61486983,3.1203597,,,,,,,1970
1203,1216,17067,17067,97.145271,.12687671,2.7278495,,,,,,,1970
1923,1913,17087,17087,93.483444,.62251657,5.8940396,,,,,,,1970
867,857,17089,17089,94.151512,3.4465449,2.4019442,,,,,,,1970
1771,1779,17145,17145,94.89801,1.7360935,3.3658957,,,,,,,1970
1925,1911,17151,17151,92.973816,5.3668656,1.6593207,,,,,,,1970
1041,1048,17155,17155,94.747353,0,5.2526464,,,,,,,1970
1846,1841,17165,17165,92.232025,2.5659966,5.2019749,,,,,,,1970
1345,1359,17167,17167,93.327545,4.7044969,1.9679549,,,,,,,1970
1232,1206,17183,17183,91.898773,5.8775644,2.2236648,,,,,,,1970
1492,1445,18005,18005,95.67009,.71902072,3.6108871,,,,,,,1970
1175,1146,18007,18007,95.746758,0,4.2532411,,,,,,,1970
1222,1149,18009,18009,97.746727,0,2.253273,,,,,,,1970
