COUNTYNS,CountyFIPS,censusPercentageWhite,censusPercentageBlack,censusPercentageOthers,censusPercentageNHWhite,censusPercentageNHBlack,censusPercentageNHOthers,censusPercentageHispanicWhite,censusPercentageHispanicBlack,censusPercentageHispanicOthers,censTryear
00161564,1077,85.305244,10.168441,4.5263133,81.752594,9.7943649,5.1633105,,,,2020
00161575,1097,57.890259,36.035381,6.0743618,54.652382,35.060715,7.0504737,,,,2020
00161581,1109,58.25684,37.610954,4.1322064,54.639645,36.559727,6.0589538,,,,2020
00164997,1115,84.951096,9.2192354,5.8296652,82.282692,9.4585247,5.432313,,,,2020
01419966,2050,10.045002,0.77681345,89.178185,8.7217398,0.45001608,89.719276,,,,2020
01419985,2158,3.2624283,0.46606117,96.271507,2.0673995,0.19120459,97.574089,,,,2020
01419987,2290,22.122402,0.093580388,77.784019,20.980722,0.11229646,77.559425,,,,2020
00025441,4001,23.912088,0.82549495,75.262413,20.888807,0.27869919,72.984352,,,,2020
00066851,5043,72.080688,29.959654,-2.0403459,64.253601,27.752161,4.2132564,,,,2020
00066855,5051,84.043724,8.2601318,7.696147,77.10022,8.0195646,7.8458776,,,,2020
00069900,5101,99.916954,0.041522492,0.041522492,92.152252,0.083044983,6.6297579,,,,2020
00069178,5121,90.242851,0.88848203,8.8686666,89.133598,0.75386357,8.0448008,,,,2020
00069904,5141,99.063057,0.65206379,0.28488225,90.649529,0.44948089,5.7292986,,,,2020
01682074,6015,72.097466,2.6925712,25.209963,58.616589,3.0313952,19.172403,,,,2020
00277289,6049,89.666664,1.4137931,8.9195404,74.091957,0.75862068,10.678161,,,,2020
00277306,6083,71.291016,1.8905514,26.818434,41.216877,1.4427893,10.358991,,,,2020
00277314,6099,69.581894,3.0677655,27.350338,37.604679,2.5868275,11.700592,,,,2020
00277320,6111,75.569267,1.8275912,22.603138,42.762695,1.6239988,12.325042,,,,2020
00198130,8029,92.08873,1.1636107,6.7476602,79.840363,0.38787025,5.8949866,,,,2020
00198135,8041,76.147018,6.1261373,17.726847,65.784134,5.5804052,10.839067,,,,2020
00198139,8047,98.037193,0.58539945,1.3774104,85.261711,0.55096418,7.644628,,,,2020
00198144,8057,94.053665,0.58013052,5.3662076,84.191444,0,5.8013053,,,,2020
00198147,8063,91.491463,0.3950896,8.1134472,74.869476,0.29631719,4.9527302,,,,2020
00198153,8075,91.332222,1.5235971,7.1441841,75.887215,3.4977703,4.3060203,,,,2020
00198154,8077,90.345726,0.73601663,8.9182606,77.55085,0.65509337,6.8437986,,,,2020
00198167,8103,89.324554,0.3369582,10.33849,84.377396,0.44417214,5.6517076,,,,2020
00198169,8107,95.243462,1.03508,3.7214549,85.553185,0.61621493,4.9699945,,,,2020
00198174,8117,88.29174,0.28980839,11.418451,76.580261,0.74706167,5.4934793,,,,2020
00212801,9015,88.50779,2.5494339,8.9427748,78.891579,1.7729217,6.9155974,,,,2020
00306920,12003,81.294456,14.770515,3.9350295,78.505966,13.535511,4.5153756,,,,2020
00295749,12009,79.237137,9.6669703,11.09589,71.03981,9.3136969,8.4520254,,,,2020
00295743,12043,88.800926,15.413162,-4.2140856,58.815769,11.825829,4.2058387,,,,2020
00295736,12047,63.489002,35.154243,1.3567553,54.505856,31.576693,3.5275636,,,,2020
00295724,12075,81.740646,7.9086566,10.350694,76.602585,8.3816843,5.5085635,,,,2020
00295731,12079,58.643143,39.214157,2.142698,56.389137,34.956589,3.7511132,,,,2020
00308550,12085,87.939232,5.6737633,6.3870077,75.247902,4.5931668,4.8923507,,,,2020
00295760,12093,86.540207,9.133791,4.3260016,62.231358,8.3694887,4.5353646,,,,2020
00306913,12125,68.768188,19.142876,12.088933,71.74707,19.799343,3.7220535,,,,2020
00352295,13035,64.90918,27.321695,7.7691278,65.377052,26.767319,4.6984353,,,,2020
00352213,13055,84.265976,9.6975765,6.0364509,80.428596,9.5774088,4.798718,,,,2020
01672399,13063,14.584923,67.466187,17.948891,8.7037754,68.98671,8.0129032,,,,2020
00348092,13101,71.328102,3.7868543,24.885042,62.969975,3.976197,3.5434136,,,,2020
01687740,13113,61.419197,22.41304,16.167761,57.170662,24.469353,10.406564,,,,2020
00348102,13173,77.371674,24.562115,-1.9337856,66.771286,21.64625,5.7912321,,,,2020
00356886,13191,80.756264,44.829159,-25.585421,64.328018,28.938496,4.6287017,,,,2020
01688004,13195,82.241035,8.6786184,9.0803452,78.183929,9.1401062,6.1819391,,,,2020
00351262,13221,80.59359,17.389545,2.0168633,73.544685,15.163575,5.430017,,,,2020
00343153,13225,48.136234,43.711803,8.1519604,43.311531,43.383011,4.2028518,,,,2020
00347593,13235,67.955353,43.906647,-11.861999,61.106037,32.075089,3.500761,,,,2020
00353055,13255,60.484951,33.528957,5.9860935,55.128815,34.392178,5.0322409,,,,2020
00343835,13275,58.207783,35.85091,5.9413075,56.757938,35.501549,4.2971311,,,,2020
00347505,13283,74.789261,30.705589,-5.4948487,63.456135,31.20512,2.6849828,,,,2020
00354216,13295,94.276764,3.9450734,1.7781653,88.175125,4.1978302,5.1364293,,,,2020
00346824,13319,59.592205,39.337612,1.0701814,57.564491,35.631409,4.1117496,,,,2020
00395066,16001,84.777168,1.2073532,14.01548,80.408997,1.5623264,8.892108,,,,2020
00395696,16013,84.533623,0.58091629,14.885465,74.258408,0.18539882,4.8698087,,,,2020
00399406,16027,78.116005,0.34140325,21.542589,67.242592,0.62958395,6.5264707,,,,2020
00395442,16045,82.126236,0.078439578,17.795324,84.359146,0.15164985,6.4843383,,,,2020
00395661,16055,86.922424,0.35305378,12.724524,87.012871,0.27018824,7.6072874,,,,2020
00394807,16067,85.809464,0.1341785,14.056355,59.899136,0.12492482,3.3822236,,,,2020
00424207,17011,91.878235,0.78811216,7.3336544,85.762848,0.77908796,4.1481171,,,,2020
00424214,17025,95.702888,0.43648404,3.8606262,93.926849,0.22576761,4.1691751,,,,2020
01784766,17031,53.306438,22.789322,23.90424,40.474388,22.473543,10.840955,,,,2020
00422191,17043,74.006004,4.8821011,21.111893,63.399677,4.7381382,16.394873,,,,2020
00424231,17059,96.886375,0.36393043,2.7496967,94.682571,0.50545895,3.7403963,,,,2020
00424236,17069,103.23376,2.6582625,-5.892025,92.463692,0.30145246,5.4535489,,,,2020
00424255,17107,91.331688,7.6213956,1.0469147,87.369133,5.3381929,4.3698859,,,,2020
01785231,17203,96.745262,0.60571396,2.6490238,93.181168,0.69930071,4.1958041,,,,2020
00451683,18005,84.713165,1.8708642,13.415969,78.331795,2.1506422,10.689958,,,,2020
00450403,18007,96.628052,0.57346028,2.798486,89.333641,0.50464505,2.9475858,,,,2020
00450347,18035,89.810822,6.9524498,3.2367318,83.405273,7.2750506,6.1624799,,,,2020
00450348,18039,84.516556,5.2674031,10.216038,70.051247,5.3374352,5.4881258,,,,2020
00450364,18079,96.179337,1.0031507,2.8175135,92.945351,0.63375944,3.3100352,,,,2020
00450371,18097,58.593353,27.684525,13.722123,50.518162,27.185652,9.0659771,,,,2020
00450375,18109,94.328506,0.28002229,5.3914738,93.301758,0.47227639,4.4511003,,,,2020
00452855,18141,75.741264,12.754661,11.504074,69.090401,12.978542,8.1931171,,,,2020
00450394,18159,94.954102,0.052086726,4.9938145,93.541245,0.29949868,3.3335505,,,,2020
00450400,18171,94.763031,0.61611372,4.6208529,95,0.082938388,2.6303318,,,,2020
00451665,18175,96.89518,0.063870557,3.0409482,94.38649,0.40096515,3.7932014,,,,2020
00465218,19059,94.311699,0.17511156,5.5131898,94.385132,0.42930576,2.8921652,,,,2020
00465249,19121,94.609619,0.54387236,4.8465071,93.691078,0.26589316,4.13343,,,,2020
00465265,19153,81.413727,6.8659487,11.720325,73.570122,7.1059971,9.5645618,,,,2020
00465277,19177,95.987785,0.29154518,3.7206719,95.487991,0.36096072,2.5683744,,,,2020
00465281,19185,94.889946,0.18470064,4.9253502,95.859627,0.15391719,3.0475605,,,,2020
00485027,20125,84.967926,5.373817,9.6582603,74.861847,4.8688307,12.602427,,,,2020
00485043,20159,91.344009,1.9942718,6.6617165,79.770874,1.3790177,5.1660123,,,,2020
00485046,20167,94.978333,1.8681811,3.1534898,90.255569,0.89672697,5.32058,,,,2020
00481812,20191,95.751053,0.75953889,3.4894111,86.439995,0.89357519,7.0637121,,,,2020
00516866,21039,93.638626,1.2432656,5.1181102,92.06382,1.2225446,3.9577289,,,,2020
00516868,21043,98.403877,0.38682541,1.2092988,95.485786,0.78491759,2.7753785,,,,2020
00516870,21047,69.564796,20.411558,10.023643,63.781822,20.922913,7.3885193,,,,2020
00516885,21077,91.956268,2.059839,5.9838896,89.32106,0.8515535,4.1657076,,,,2020
00516889,21085,96.003029,0.72672218,3.2702498,93.701744,1.1657835,3.7547312,,,,2020
00516894,21095,93.600685,1.9194216,4.4798927,93.179535,2.0163243,3.8164809,,,,2020
00516906,21119,102.68753,0.87011439,-3.5576451,96.926529,0.45610833,1.9858255,,,,2020
00516918,21143,86.774193,5.3456221,7.8801842,89.089859,5.8410139,3.3179724,,,,2020
00516925,21145,81.4674,9.819521,8.7130756,79.264824,11.107183,6.4825044,,,,2020
00516930,21167,88.750496,3.2993243,7.9501791,88.777,3.303741,4.8142748,,,,2020
00516935,21177,92.243279,3.8411796,3.9155457,91.192444,3.8896792,3.0781169,,,,2020
00516941,21189,101.01209,4.6901999,-5.7022958,96.39595,0.2715379,2.2957294,,,,2020
00516960,21227,78.437653,8.5393229,13.023025,72.642952,9.5158825,10.824651,,,,2020
00516963,21233,90.03611,4.0946455,5.8692479,85.618805,3.6567566,4.2329264,,,,2020
00558414,22007,71.1203,32.030991,-3.1512904,64.546791,28.390133,2.7187605,,,,2020
00558445,22013,57.006393,43.794777,-0.80117095,53.162315,40.620907,4.5913258,,,,2020
00558534,22035,25.177637,66.188499,8.6338654,27.269072,69.231804,1.9573669,,,,2020
